type,x_coordinate,y_coordinate,initial_frequency,visit_duration_minutes
G,221.06,155.88,5,215
P,351.78,112.47,1,90
M,188.72,24.91,4,150
P,186.37,103.81,1,90
P,316.57,194.31,2,90
P,59.4,113.59,2,90
G,308.14,18.46,5,215
M,328.65,16.63,4,150
P,491.71,398.76,1,90
P,407.66,180.94,1,90
P,160.79,247.88,3,90
P,417.46,88.43,3,90
P,80.53,494.2,1,90
P,257.36,93.72,1,90
P,46.91,413.07,1,90
M,247.69,299.0,4,150
P,329.57,305.26,1,90
P,72.41,97.73,2,90
M,235.01,73.14,5,150
P,84.53,107.48,1,90
M,106.95,451.85,3,150
M,387.66,487.72,5,150
P,208.18,126.11,2,90
G,446.85,116.81,5,215
P,391.29,267.82,2,90
P,93.08,453.18,3,90
P,129.58,357.36,3,90
P,313.56,477.96,3,90
P,21.69,389.8,3,90
P,325.48,374.12,1,90
