store_id,type,x_coordinate,y_coordinate,visit_duration_minutes,initial_frequency,baseline_profitability,profitability_freq_1,profitability_freq_2,profitability_freq_3,profitability_freq_4,profitability_freq_5,profitability_freq_6
STORE_0001,P,336.54,15.48,100,1,61,61,61,76,125,145,151
STORE_0002,P,301.93,33.29,104,3,73,73,73,91,149,174,181
STORE_0003,P,408.8,456.41,105,3,108,108,108,135,220,256,266
STORE_0004,P,480.46,46.52,108,1,135,135,135,169,276,322,334
STORE_0005,P,271.72,248.85,98,2,53,53,53,66,108,126,131
STORE_0006,P,84.27,318.18,60,2,60,60,60,75,123,143,148
STORE_0007,P,131.9,345.44,90,3,98,98,98,123,200,234,243
STORE_0008,P,304.79,227.33,72,1,58,58,58,73,119,138,144
STORE_0009,P,147.6,94.56,93,1,145,145,145,182,297,346,359
STORE_0010,P,29.79,202.4,111,2,87,87,87,109,178,207,215
STORE_0011,P,355.09,333.41,66,1,110,110,110,137,225,262,272
STORE_0012,P,246.48,407.24,78,2,75,75,75,94,153,178,185
STORE_0013,P,97.24,165.72,113,2,125,125,125,157,256,298,310
STORE_0014,P,396.64,270.97,87,2,54,54,54,68,111,130,135
STORE_0015,P,376.07,339.86,84,1,149,149,149,187,305,356,369
STORE_0016,P,362.14,97.06,109,2,68,68,68,84,138,161,167
STORE_0017,P,427.12,100.82,86,2,113,113,113,141,230,268,278
STORE_0018,P,34.61,125.83,113,1,146,146,146,183,299,348,361
STORE_0019,P,283.06,39.37,99,3,75,75,75,94,154,180,187
STORE_0020,P,165.37,294.71,83,2,97,97,97,121,198,231,240
STORE_0021,P,338.88,473.88,94,2,68,68,68,85,139,162,168
STORE_0022,P,350.56,360.44,64,3,101,101,101,126,206,240,250
STORE_0023,P,39.27,316.99,78,2,101,101,101,126,206,241,250
STORE_0024,P,246.83,170.37,91,3,136,136,136,170,278,324,336
STORE_0025,P,487.3,249.91,108,3,129,129,129,162,264,308,320
STORE_0026,P,454.5,317.38,109,2,135,135,135,168,275,321,333
STORE_0027,P,25.97,440.63,114,1,51,51,51,64,104,122,126
STORE_0028,P,25.94,372.44,75,1,80,80,80,101,164,192,199
STORE_0029,P,499.59,286.07,104,3,60,60,60,75,122,143,148
STORE_0030,P,149.06,262.69,94,3,51,51,51,63,103,120,125
STORE_0031,P,316.51,198.42,82,2,66,66,66,82,134,156,162
STORE_0032,P,128.38,39.52,95,2,145,145,145,181,296,345,358
STORE_0033,P,254.39,276.02,107,1,118,118,118,148,242,282,292
STORE_0034,P,163.49,135.08,85,2,56,56,56,70,115,134,139
STORE_0035,P,233.07,52.27,100,1,80,80,80,100,164,191,199
STORE_0036,M,343.12,169.64,161,3,271,271,271,288,524,697,774
STORE_0037,M,0.0,369.0,136,5,589,589,589,626,1141,1517,1684
STORE_0038,M,388.81,40.8,153,5,182,182,182,193,353,469,520
STORE_0039,M,0.0,300.73,138,3,725,725,725,770,1404,1866,2071
STORE_0040,M,268.78,293.39,163,4,471,471,471,501,913,1213,1347
STORE_0041,M,31.05,304.92,144,4,743,743,743,790,1439,1913,2124
STORE_0042,M,0.0,327.77,135,3,539,539,539,573,1043,1387,1539
STORE_0043,M,500.0,231.33,173,4,297,297,297,315,575,764,848
STORE_0044,M,459.21,136.47,157,5,475,475,475,505,920,1223,1358
STORE_0045,M,107.05,221.55,160,4,216,216,216,230,419,556,617
STORE_0046,M,106.4,459.2,155,3,627,627,627,667,1215,1615,1793
STORE_0047,M,137.95,321.38,129,4,233,233,233,247,450,599,665
STORE_0048,G,0.0,317.76,204,6,1026,1026,1026,1026,1795,2624,3162
STORE_0049,G,248.51,319.24,207,6,663,663,663,663,1161,1697,2045
STORE_0050,G,18.87,150.37,230,6,1121,1121,1121,1121,1962,2868,3455
